Brand Name,Year,brandspend,branddose,brandclaims,nomchngspend,nomchngdose,nomchngclaims,perchngspend,perchngdose,perchngclaims
Catapres-Tts 3,2016,6262564.08,50059,11407,2790553.34,10689,2805,0.768344087471498,0.27612306579525203,0.3228591160220995
Catapres-Tts 3,2017,6422459.13,49400,11493,2790553.34,10689,2805,0.768344087471498,0.27612306579525203,0.3228591160220995
Cathflo Activase,2013,4035952.71,31838.641,19448,7121886.71,21751.032000000003,14094,1.7646110402517574,0.6831645860763971,0.724701768819416
Cathflo Activase,2014,4188186.87,34906.545,22338,7121886.71,21751.032000000003,14094,1.7646110402517574,0.6831645860763971,0.724701768819416
Cathflo Activase,2015,6309782.59,43744.999,28022,7121886.71,21751.032000000003,14094,1.7646110402517574,0.6831645860763971,0.724701768819416
Cathflo Activase,2016,8334523.06,50528.692,31709,7121886.71,21751.032000000003,14094,1.7646110402517574,0.6831645860763971,0.724701768819416
Cathflo Activase,2017,11157839.42,53589.673,33542,7121886.71,21751.032000000003,14094,1.7646110402517574,0.6831645860763971,0.724701768819416
Cayston,2013,27386775.97,410034.084,4894,18053891.060000002,58258.91600000003,725,0.6592192918135593,0.14208310546203284,0.14814058030241117
Cayston,2014,32231278.67,447772,5336,18053891.060000002,58258.91600000003,725,0.6592192918135593,0.14208310546203284,0.14814058030241117
Cayston,2015,34902441.1,454181,5426,18053891.060000002,58258.91600000003,725,0.6592192918135593,0.14208310546203284,0.14814058030241117
Cayston,2016,44103904.31,496609,5917,18053891.060000002,58258.91600000003,725,0.6592192918135593,0.14208310546203284,0.14814058030241117
Cayston,2017,45440667.03,468293,5619,18053891.060000002,58258.91600000003,725,0.6592192918135593,0.14208310546203284,0.14814058030241117
Caziant,2013,211312.67,227094.233,5880,-50737.95000000001,-56249.035,78,-0.24010841375484016,-0.2476902837070284,0.013265306122449028
Caziant,2014,223497.44,246754.106,6769,-50737.95000000001,-56249.035,78,-0.24010841375484016,-0.2476902837070284,0.013265306122449028
Caziant,2015,231498.1,297472.904,7708,-50737.95000000001,-56249.035,78,-0.24010841375484016,-0.2476902837070284,0.013265306122449028
Caziant,2016,191573.53,234272.454,6989,-50737.95000000001,-56249.035,78,-0.24010841375484016,-0.2476902837070284,0.013265306122449028
Caziant,2017,160574.72,170845.198,5958,-50737.95000000001,-56249.035,78,-0.24010841375484016,-0.2476902837070284,0.013265306122449028
Cefaclor,2013,303462.95999999996,155748.02,5924,567469.8099999999,585306.98,2228,1.8699804747175737,3.7580380155073563,0.3760972316002702
Cefaclor,2014,268377.79,142066,5386,567469.8099999999,585306.98,2228,1.8699804747175737,3.7580380155073563,0.3760972316002702
Cefaclor,2015,280098.7,154463,5731,567469.8099999999,585306.98,2228,1.8699804747175737,3.7580380155073563,0.3760972316002702
Cefaclor,2016,546120.3200000001,427973,6657,567469.8099999999,585306.98,2228,1.8699804747175737,3.7580380155073563,0.3760972316002702
Cefaclor,2017,870932.7699999999,741055,8152,567469.8099999999,585306.98,2228,1.8699804747175737,3.7580380155073563,0.3760972316002702
Cefadroxil,2013,3832239.8000000003,6182058.558,102029,-1296717.6600000001,-525648.0580000002,3019,-0.3383706990361094,-0.08502799723884469,0.0295896264787463
Cefadroxil,2014,3566144.4099999997,6264945.21,104612,-1296717.6600000001,-525648.0580000002,3019,-0.3383706990361094,-0.08502799723884469,0.0295896264787463
Cefadroxil,2015,3139835.76,6213653.971,110555,-1296717.6600000001,-525648.0580000002,3019,-0.3383706990361094,-0.08502799723884469,0.0295896264787463
Cefadroxil,2016,2850865.06,6036884.001,107247,-1296717.6600000001,-525648.0580000002,3019,-0.3383706990361094,-0.08502799723884469,0.0295896264787463
Cefadroxil,2017,2535522.14,5656410.5,105048,-1296717.6600000001,-525648.0580000002,3019,-0.3383706990361094,-0.08502799723884469,0.0295896264787463
Cefazolin Sodium*,2013,8560728.11,8001566.142,94883,16199594.77,-4967296.584,66337,1.892315065009114,-0.6207905422323259,0.6991452631135187
Cefazolin Sodium*,2014,7303290.79,3099790.2029999997,106265,16199594.77,-4967296.584,66337,1.892315065009114,-0.6207905422323259,0.6991452631135187
Cefazolin Sodium*,2015,18259948.46,5147437.485,161085,16199594.77,-4967296.584,66337,1.892315065009114,-0.6207905422323259,0.6991452631135187
Cefazolin Sodium*,2016,14204808.1,4031952.372,163157,16199594.77,-4967296.584,66337,1.892315065009114,-0.6207905422323259,0.6991452631135187
Cefazolin Sodium*,2017,24760322.88,3034269.558,161220,16199594.77,-4967296.584,66337,1.892315065009114,-0.6207905422323259,0.6991452631135187
