Brand Name,Year,brandspend,branddose,brandclaims,brandbens,nomchngspend,nomchngdose,nomchngclaims,nomchngbens,perchngspend,perchngdose,perchngclaims,perchngbens
Acular,2013,188135.47,6307,995,506,-83847.96,-3492,-564,-284,-0.44567863784537814,-0.553670524813699,-0.5668341708542713,-0.5612648221343873
Acular,2014,139160.06,4440,706,359,-83847.96,-3492,-564,-284,-0.44567863784537814,-0.553670524813699,-0.5668341708542713,-0.5612648221343873
Acular,2015,105496.14,2991,451,202,-83847.96,-3492,-564,-284,-0.44567863784537814,-0.553670524813699,-0.5668341708542713,-0.5612648221343873
Acular,2016,107631.23,2775,439,204,-83847.96,-3492,-564,-284,-0.44567863784537814,-0.553670524813699,-0.5668341708542713,-0.5612648221343873
Acular,2017,104287.51,2815,431,222,-83847.96,-3492,-564,-284,-0.44567863784537814,-0.553670524813699,-0.5668341708542713,-0.5612648221343873
Acular Ls,2013,247413.88,7847,1375,772,-184903.17,-6547,-1168,-675,-0.7473435605148749,-0.8343315916910922,-0.8494545454545455,-0.8743523316062176
Acular Ls,2014,346808.81,10925,1978,1253,-184903.17,-6547,-1168,-675,-0.7473435605148749,-0.8343315916910922,-0.8494545454545455,-0.8743523316062176
Acular Ls,2015,127423.16,3421,573,277,-184903.17,-6547,-1168,-675,-0.7473435605148749,-0.8343315916910922,-0.8494545454545455,-0.8743523316062176
Acular Ls,2016,91009.22,2131,347,161,-184903.17,-6547,-1168,-675,-0.7473435605148749,-0.8343315916910922,-0.8494545454545455,-0.8743523316062176
Acular Ls,2017,62510.71,1300,207,97,-184903.17,-6547,-1168,-675,-0.7473435605148749,-0.8343315916910922,-0.8494545454545455,-0.8743523316062176
Acuvail,2013,1204871.13,199594,5291,3337,-854939.6599999999,-161372,-4465,-2929,-0.7095693794240053,-0.8085012575528322,-0.8438858438858439,-0.8777344920587354
Acuvail,2014,649436.21,99095,2462,1449,-854939.6599999999,-161372,-4465,-2929,-0.7095693794240053,-0.8085012575528322,-0.8438858438858439,-0.8777344920587354
Acuvail,2015,520734.95,70525,1655,877,-854939.6599999999,-161372,-4465,-2929,-0.7095693794240053,-0.8085012575528322,-0.8438858438858439,-0.8777344920587354
Acuvail,2016,481254.14,56785,1320,630,-854939.6599999999,-161372,-4465,-2929,-0.7095693794240053,-0.8085012575528322,-0.8438858438858439,-0.8777344920587354
Acuvail,2017,349931.47,38222,826,408,-854939.6599999999,-161372,-4465,-2929,-0.7095693794240053,-0.8085012575528322,-0.8438858438858439,-0.8777344920587354
Acyclovir Sodium,2013,40567.23,52216.08,149,150,14430.39,49031.69,179,-36,0.3557154382983506,0.9390151462921,1.2013422818791946,-0.24
Acyclovir Sodium,2014,66942.87,77929.64600000001,238,150,14430.39,49031.69,179,-36,0.3557154382983506,0.9390151462921,1.2013422818791946,-0.24
Acyclovir Sodium,2015,58561.15000000001,75870.3,271,138,14430.39,49031.69,179,-36,0.3557154382983506,0.9390151462921,1.2013422818791946,-0.24
Acyclovir Sodium,2016,71799.85,148126.31,361,127,14430.39,49031.69,179,-36,0.3557154382983506,0.9390151462921,1.2013422818791946,-0.24
