Brand Name,Year,brandspend,branddose,brandclaims,avgspendperclaim,nomchngspend,nomchngdose,nomchngclaims,nomchngspendperclaim,perchngspend,perchngdose,perchngclaims
Valacyclovir,2015,31929240,26796397.43,1022065,31.239930924158443,-13380740,17975449.493,708537,-44.84121100500883,-0.313390202624369,1.0509647239146522,1.1044711207964872
Valacyclovir,2016,31063648,31618853.336,1205166,25.775410192454814,-13380740,17975449.493,708537,-44.84121100500883,-0.313390202624369,1.0509647239146522,1.1044711207964872
Valacyclovir,2017,29316000,35079210.527,1350054,21.714686968076833,-13380740,17975449.493,708537,-44.84121100500883,-0.313390202624369,1.0509647239146522,1.1044711207964872
Valcyte,2013,53200000,1979174.503,21139,2516.675339420029,-37200000,-1265506.503,-15908,542.0132478481796,-0.6992481203007519,-0.6394112803503512,-0.752542693599508
Valcyte,2014,65200000,2074696.452,23643,2757.687264729518,-37200000,-1265506.503,-15908,542.0132478481796,-0.6992481203007519,-0.6394112803503512,-0.752542693599508
Valcyte,2015,27000000,1527931.321,10847,2489.1675117544023,-37200000,-1265506.503,-15908,542.0132478481796,-0.6992481203007519,-0.6394112803503512,-0.752542693599508
Valcyte,2016,20400000,1296817,8321,2451.6284100468692,-37200000,-1265506.503,-15908,542.0132478481796,-0.6992481203007519,-0.6394112803503512,-0.752542693599508
Valcyte,2017,16000000,713668,5231,3058.6885872682087,-37200000,-1265506.503,-15908,542.0132478481796,-0.6992481203007519,-0.6394112803503512,-0.752542693599508
Valproate Sodium,2013,255900,59017.473,925,276.64864864864865,-103710,12337.529999999999,97,-127.73475432379541,-0.40527549824150055,0.20904876764208447,0.1048648648648649
Valproate Sodium,2014,176100,61373.662,766,229.89556135770235,-103710,12337.529999999999,97,-127.73475432379541,-0.40527549824150055,0.20904876764208447,0.1048648648648649
Valproate Sodium,2015,198700,50558.678,1124,176.77935943060498,-103710,12337.529999999999,97,-127.73475432379541,-0.40527549824150055,0.20904876764208447,0.1048648648648649
Valproate Sodium,2016,134810,52034.233,1184,113.85979729729729,-103710,12337.529999999999,97,-127.73475432379541,-0.40527549824150055,0.20904876764208447,0.1048648648648649
Valproate Sodium,2017,152190,71355.003,1022,148.91389432485323,-103710,12337.529999999999,97,-127.73475432379541,-0.40527549824150055,0.20904876764208447,0.1048648648648649
Valproic Acid,2013,5363742,112343138.783,214636,24.98994576865018,2293458,27324138.13399999,78247,1.1542824726611975,0.42758544314771285,0.2432203553327703,0.3645567379190815
Valproic Acid,2014,5201116,113964414.039,227508,22.861244439755964,2293458,27324138.13399999,78247,1.1542824726611975,0.42758544314771285,0.2432203553327703,0.3645567379190815
Valproic Acid,2015,6870305,134279242.819,272417,25.21981007059031,2293458,27324138.13399999,78247,1.1542824726611975,0.42758544314771285,0.2432203553327703,0.3645567379190815
Valproic Acid,2016,8456940,138195640.07,286446,29.523679855889068,2293458,27324138.13399999,78247,1.1542824726611975,0.42758544314771285,0.2432203553327703,0.3645567379190815
Valproic Acid,2017,7657200,139667276.917,292883,26.144228241311378,2293458,27324138.13399999,78247,1.1542824726611975,0.42758544314771285,0.2432203553327703,0.3645567379190815
Valsartan-Hydrochlorothiazide,2013,12675000,4743263.524,152829,82.93583024164262,-8180900,4283635.476,124898,-66.75411222358892,-0.6454358974358974,0.903098774572745,0.8172401834730318
Valsartan-Hydrochlorothiazide,2014,5485220,4653599.911,149159,36.77431465751312,-8180900,4283635.476,124898,-66.75411222358892,-0.6454358974358974,0.903098774572745,0.8172401834730318
Valsartan-Hydrochlorothiazide,2015,4067200,5996975.151,189052,21.51365761800986,-8180900,4283635.476,124898,-66.75411222358892,-0.6454358974358974,0.903098774572745,0.8172401834730318
Valsartan-Hydrochlorothiazide,2016,4355970,7780645.54,241735,18.01960824870209,-8180900,4283635.476,124898,-66.75411222358892,-0.6454358974358974,0.903098774572745,0.8172401834730318
Valsartan-Hydrochlorothiazide,2017,4494100,9026899,277727,16.1817180180537,-8180900,4283635.476,124898,-66.75411222358892,-0.6454358974358974,0.903098774572745,0.8172401834730318
Valtrex,2013,20600000,2278161.255,79031,260.65721046171757,-18790000,-2143929.454,-75096,199.31737657767252,-0.9121359223300971,-0.9410788851292268,-0.9502094114967544
Valtrex,2014,13600000,1482128.508,49145,276.7321192389867,-18790000,-2143929.454,-75096,199.31737657767252,-0.9121359223300971,-0.9410788851292268,-0.9502094114967544
Valtrex,2015,15400000,1347709.005,45806,336.2004977513863,-18790000,-2143929.454,-75096,199.31737657767252,-0.9121359223300971,-0.9410788851292268,-0.9502094114967544
Valtrex,2016,10300000,771229.625,25978,396.4893371314189,-18790000,-2143929.454,-75096,199.31737657767252,-0.9121359223300971,-0.9410788851292268,-0.9502094114967544
Valtrex,2017,1810000,134231.801,3935,459.9745870393901,-18790000,-2143929.454,-75096,199.31737657767252,-0.9121359223300971,-0.9410788851292268,-0.9502094114967544
Vancomycin,2013,122000,1320846,1441,84.66342817487856,9000,239609.6669999999,550,-18.867345804210558,0.07377049180327866,0.1814062101107925,0.38167938931297707
Vancomycin,2014,146000,1677622.45,1699,85.9329017068864,9000,239609.6669999999,550,-18.867345804210558,0.07377049180327866,0.1814062101107925,0.38167938931297707
Vancomycin,2015,144000,1640078,1904,75.63025210084034,9000,239609.6669999999,550,-18.867345804210558,0.07377049180327866,0.1814062101107925,0.38167938931297707
Vancomycin,2016,129000,1527205.167,1921,67.15252472670484,9000,239609.6669999999,550,-18.867345804210558,0.07377049180327866,0.1814062101107925,0.38167938931297707
Vancomycin,2017,131000,1560455.667,1991,65.796082370668,9000,239609.6669999999,550,-18.867345804210558,0.07377049180327866,0.1814062101107925,0.38167938931297707
Vancomycin HCl,2013,1420000,13201875.5,10897,130.31109479673304,630000,-3352065.5,2299,25.039011296022323,0.443661971830986,-0.2539082799258333,0.21097549784344305
Vancomycin HCl,2014,1410000,11216203.04,12458,113.18028576015412,630000,-3352065.5,2299,25.039011296022323,0.443661971830986,-0.2539082799258333,0.21097549784344305
Vancomycin HCl,2015,2140000,26250691.5,16178,132.27840276919272,630000,-3352065.5,2299,25.039011296022323,0.443661971830986,-0.2539082799258333,0.21097549784344305
